ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-5978648,Source1,2,2021-10-30 19:54:00,2021-10-30 21:29:02,29.7247,-82.74730500000003,29.725296000000004,-82.740545,0.408,Incident on CR-232 near FL-47 Drive with caution., SE State Road 47,Trenton,Gilchrist,FL,32693-5214,US,US/Eastern,KCTY,2021-10-30 19:55:00,57.0,57.0,91.0,29.76,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
A-1357589,Source2,2,2020-10-26 08:34:43,2020-10-26 09:34:08,27.57354,-81.816811,,,0.0,Restrictions due to accident on CR-35A Florida Ave at US-17.,US Highway 17 N,Wauchula,Hardee,FL,33873-4702,US,US/Eastern,KBOW,2020-10-26 08:50:00,73.0,73.0,100.0,29.88,0.25,VAR,5.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1193724,Source2,2,2021-01-14 08:12:20,2021-01-14 09:29:55,37.334641,-77.335983,,,0.0,Accident on River Fork Pl at River Haven Ave.,River Haven Ave,Chester,Chesterfield,VA,23836,US,US/Eastern,KFCI,2021-01-14 07:56:00,29.0,23.0,100.0,29.6,6.0,WNW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2118456,Source2,3,2019-05-22 15:09:36,2019-05-22 16:10:44,37.965481,-122.056168,,,0.6399999856948853,Entry ramp to I-680 Southbound from Willow Pass Rd Eastbound shoulder blocked due to accident.,Santa Cruz Dr,Pleasant Hill,Contra Costa,CA,94523-2326,US,US/Pacific,KCCR,2019-05-22 14:53:00,75.0,75.0,34.0,29.73,10.0,NW,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3537354,Source1,3,2016-11-20 12:42:36,2016-11-20 18:42:36,34.06423,-118.15952,34.06368,-118.1613,0.109,Ramp to I-710/Long Beach Fwy and Campus Dr - Accident.,I-10 W,Alhambra,Los Angeles,CA,91803,US,US/Pacific,KCQT,2016-11-20 12:47:00,62.1,,80.0,29.97,9.0,Calm,,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2734305,Source2,2,2018-05-31 16:35:08,2018-05-31 17:04:58,43.040714,-89.37816600000002,,,0.0,Accident on US-18 Beltline Hwy Southbound at Exit 262 US-12 Beltline Hwy.,Rimrock Rd,Madison,Dane,WI,53713,US,US/Central,KMSN,2018-05-31 16:53:00,84.0,,51.0,29.68,10.0,West,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5267774,Source1,2,2022-11-09 17:28:00,2022-11-09 18:20:30,38.898485,-77.441739,38.900175,-77.446218,0.268,Stationary traffic on US-50 W from Sully to Chantilly Crossing Ln due to accident.,Lee Jackson Memorial Hwy,Chantilly,Fairfax County,VA,20151,US,US/Eastern,KIAD,2022-11-09 17:52:00,51.0,51.0,56.0,30.17,10.0,ESE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-5545678,Source1,2,2021-06-14 15:34:00,2021-06-14 18:27:24,37.742854356585774,-122.19821333826924,37.74662435658578,-122.20156333826924,0.318,Accident on Hegenberger Rd (I-880) from 66th Ave (I-880) to Nimitz Fwy N - I-880 N.,I-880,Oakland,Alameda,CA,94621,US,US/Pacific,KOAK,2021-06-14 15:53:00,72.0,72.0,49.0,30.05,10.0,WNW,23.0,0.0,Fair / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-219122,Source3,2,2016-07-13 07:56:11,2016-07-13 08:41:11,40.70538300000001,-74.245613,,,0.0,Delays and right lane blocked due to accident on Garden State Pkwy Northbound after I-78 Exit 52 / Garden State Pkwy Exits 142A 142B 142C.,I-78 W,Hillside,Union,NJ,07205,US,US/Eastern,KEWR,2016-07-13 07:51:00,73.9,,79.0,30.07,10.0,South,4.6,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-791321,Source2,3,2021-12-06 16:21:39,2021-12-06 17:06:11,30.027767,-95.429153,,,0.0,Left and center lane blocked due to accident on I-45 I-45 Northbound at Parramatta Ln.,I-45 N,Houston,Harris,TX,77090,US,US/Central,KDWH,2021-12-06 15:53:00,64.0,64.0,56.0,29.9,10.0,N,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2854479,Source2,3,2018-05-29 06:16:37,2018-05-29 07:16:15,34.125240000000005,-118.228355,,,0.0,Accident on CA-2 Southbound at Exits 15A 15B Delevan Dr.,CA-2 S,Los Angeles,Los Angeles,CA,90065,US,US/Pacific,KCQT,2018-05-29 05:47:00,62.1,,80.0,29.86,9.0,Calm,,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3622850,Source1,2,2017-05-25 07:12:38,2017-05-25 13:12:38,38.41094,-122.71616000000002,38.41094,-122.71616000000002,0.0,At Hearn Ave/Yolanda Ave - Accident.,Redwood Hwy S,Santa Rosa,Sonoma,CA,95407,US,US/Pacific,KSTS,2017-05-25 06:53:00,52.0,,97.0,29.73,3.0,South,3.5,0.01,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6311779,Source1,2,2021-12-22 16:41:32,2021-12-22 18:21:15,34.112149,-80.89459599999998,34.116246000000004,-80.88512800000002,0.611,Slow traffic on US-1 N - US-1 S from N Brickyard Rd (US-1) to Clemson Rd (US-1) due to accident., Two Notch Rd,Columbia,Richland,SC,29223-4382,US,US/Eastern,KCUB,2021-12-22 16:53:00,61.0,61.0,34.0,29.72,10.0,W,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7078654,Source1,1,2020-06-10 18:22:39,2020-06-10 19:07:39,31.75229,-106.34548,31.75229,-106.34548,0.0,At I-10/Gateway Blvd - Accident.,Gateway Blvd E,El Paso,El Paso,TX,79915,US,US/Mountain,KELP,2020-06-10 18:40:00,93.0,93.0,5.0,26.12,10.0,CALM,0.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-7428568,Source1,3,2019-03-16 14:18:17,2019-03-16 14:47:35,38.062633,-78.491297,38.05851,-78.4946,0.337,At Angus Rd - Accident. Center lane blocked. Right lane blocked., Seminole Trl,Charlottesville,Albemarle,VA,22901-2825,US,US/Eastern,KCHO,2019-03-16 13:53:00,57.0,,23.0,30.12,10.0,Variable,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-198779,Source2,3,2017-01-05 06:24:04,2017-01-05 06:53:49,42.41367,-71.103714,,,0.01,Accident on 93 Southbound at MA-16 Mystic Valley Pkwy.,Mystic Valley Pkwy,Medford,Middlesex,MA,02155,US,US/Eastern,KBOS,2017-01-05 06:54:00,27.0,13.9,51.0,29.8,10.0,West,18.4,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-51055,Source2,2,2016-07-23 23:23:47,2016-07-23 23:53:47,33.902122,-118.265274,,,0.0,Accident on Rosecrans Ave Eastbound at Avalon Blvd.,E Rosecrans Ave,Gardena,Los Angeles,CA,90248-2025,US,US/Pacific,KHHR,2016-07-23 23:53:00,72.0,,78.0,29.83,10.0,SSE,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-2435738,Source2,2,2018-11-06 11:43:37,2018-11-06 12:32:00,39.82428,-84.930771,,,0.0,Accident on US-40 National Rd at 21st St.,National Rd W,Richmond,Wayne,IN,47374-4621,US,US/Eastern,KVES,2018-11-06 11:35:00,51.8,,76.0,29.76,10.0,WSW,25.3,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-432413,Source2,3,2017-04-20 19:09:05,2017-04-20 19:38:39,29.777363,-95.406296,,,0.01,Right hand shoulder blocked and right lane blocked due to accident on I-10 Eastbound at Patterson St.,I-10 W,Houston,Harris,TX,77007,US,US/Central,KMCJ,2017-04-20 19:15:00,80.6,,61.0,29.93,10.0,SSE,15.0,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6858819,Source1,2,2020-10-29 22:53:44,2020-10-30 01:01:37,38.852494,-76.954883,38.851784,-76.95855300000002,0.203,Incident on SUITLAND PKY near SUITLAND PKY Drive with caution.,Suitland Pkwy,Suitland,Prince George's,MD,20746,US,US/Eastern,KWBC,2020-10-29 22:56:00,51.0,51.0,99.0,29.33,5.0,N,9.0,0.11,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-852952,Source2,2,2021-10-26 08:43:16,2021-10-26 09:13:09,47.57835,-122.303322,,,0.0,Accident on 23rd Ave at Mc Clellan St.,23rd Ave S,Seattle,King,WA,98144-5308,US,US/Pacific,KBFI,2021-10-26 08:53:00,49.0,46.0,100.0,29.71,10.0,SE,7.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-766542,Source2,2,2021-12-24 06:36:28,2021-12-24 07:21:17,42.907581,-85.705078,,,0.0,Accident on Den Hertog St at Burlingame Ave.,Den Hertog St SW,Wyoming,Kent,MI,49509-2750,US,US/Eastern,KGRR,2021-12-24 06:47:00,30.0,23.0,100.0,28.82,2.0,ESE,7.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-242172,Source2,2,2016-11-15 19:25:17,2016-11-15 19:54:59,40.858482,-79.89698800000002,,,0.0,Accident on Diamond St at Washington St.,W Diamond St,Butler,Butler,PA,16001-5712,US,US/Eastern,KBTP,2016-11-15 19:35:00,41.0,,57.0,29.9,10.0,Calm,,,Clear,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-4457176,Source1,2,2022-05-03 08:09:50,2022-05-03 08:39:47,25.729071,-80.383081,25.732128,-80.38385600000002,0.217,Stationary traffic on FL-976 from SW 43rd Ter to FL-821 N due to accident.,SW 117th Ave,Miami,Miami-Dade,FL,33175,US,US/Eastern,KTMB,2022-05-03 07:53:00,76.0,76.0,85.0,30.04,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2932226,Source2,2,2018-03-07 10:07:57,2018-03-07 10:37:35,36.207451,-86.77771800000002,,,0.0,Accident on Brick Church Pike near US-431 Trinity Ln.,Brick Church Pike,Nashville,Davidson,TN,37207,US,US/Central,KBNA,2018-03-07 09:53:00,39.9,33.9,55.0,30.12,10.0,NW,9.2,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7346694,Source1,2,2019-10-18 17:24:00,2019-10-18 18:46:37,36.74504,-119.820779,36.74504,-119.820779,0.0,At CA-180 - Accident.,CA-99 S,Fresno,Fresno,CA,93706,US,US/Pacific,KFAT,2019-10-18 17:53:00,72.0,72.0,29.0,29.66,10.0,NNW,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-446028,Source2,2,2017-05-18 19:45:56,2017-05-18 20:15:46,42.927078,-85.603516,,,0.0199999995529651,Accident on Burton St at Conlon Ave.,Burton St SE,Grand Rapids,Kent,MI,49546-4927,US,US/Eastern,KGRR,2017-05-18 19:53:00,64.9,,73.0,29.86,10.0,NW,17.3,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7590769,Source1,2,2018-04-06 12:36:42,2018-04-06 18:36:42,40.73629,-73.84483,40.74381,-73.84666999999997,0.528,At I-495/Long Island Expy/Exit 10 - Accident.,Grand Central Pkwy W,Flushing,Queens,NY,11367,US,US/Eastern,KLGA,2018-04-06 12:51:00,46.9,,63.0,29.88,10.0,South,19.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-921745,Source2,2,2021-08-27 11:14:51,2021-08-27 12:02:03,38.212029,-122.549248,,,0.0,Accident on CA-116 Stage Gulch Rd both ways at Lakeville Hwy.,Lakeville Hwy,Petaluma,Sonoma,CA,94954-9520,US,US/Pacific,KO69,2021-08-27 11:15:00,81.0,81.0,39.0,29.71,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-1494958,Source2,2,2020-06-30 08:02:50,2020-06-30 09:02:18,32.858974,-96.902748,,,0.0,2 left lane blocked due to accident on Walton Walker Blvd Northbound at TX-12-LOOP Northwest Hwy.,Loop 12 N,Dallas,Dallas,TX,75220,US,US/Central,KDAL,2020-06-30 07:53:00,82.0,82.0,74.0,29.3,8.0,S,15.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-956564,Source2,3,2021-07-28 05:21:38,2021-07-28 06:20:39,42.424065,-82.929222,,,0.0,Left and Center lane blocked due to accident on I-94 Westbound at Moross Rd.,Edsel Ford Fwy E,Detroit,Wayne,MI,48224,US,US/Eastern,KDET,2021-07-28 04:53:00,71.0,71.0,84.0,29.35,9.0,N,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-5798610,Source1,2,2021-11-17 14:44:30.000000000,2021-11-17 15:06:30.000000000,33.932003,-117.42348,33.927136,-117.419507,0.406,Stationary traffic from Magnolia Ave (Adams St) to CA-91/Riverside Fwy (Adams St) due to accident., Adams St,Riverside,Riverside,CA,92504-6325,US,US/Pacific,KRAL,2021-11-17 14:53:00,71.0,71.0,39.0,29.12,10.0,WNW,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1779932,Source2,3,2019-10-26 06:04:50,2019-10-26 07:03:29,30.030119,-89.993507,,,0.0,Left lane blocked due to accident on I-10 Eastbound at Exit 242 Crowder Blvd.,Crowder Blvd,New Orleans,Orleans,LA,70127,US,US/Central,KNEW,2019-10-26 06:03:00,71.0,71.0,87.0,29.62,10.0,SSW,32.0,0.0,Cloudy / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-4576691,Source1,2,2022-05-03 15:20:40.000000000,2022-05-03 17:31:31.000000000,29.746604,-95.454054,29.747671,-95.456641,0.172,Slow traffic from Post Oak Park Dr to I-610 S due to accident., San Felipe St,Houston,Harris,TX,77027-3403,US,US/Central,KMCJ,2022-05-03 14:53:00,87.0,87.0,57.0,29.89,10.0,SSE,14.0,0.0,Partly Cloudy,False,False,True,True,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-303519,Source2,2,2016-07-10 18:27:45,2016-07-10 19:42:45,30.244492,-97.757698,,,0.0,Accident on 1st St at Live Oak St.,W Live Oak St,Austin,Travis,TX,78704-5121,US,US/Central,KATT,2016-07-10 18:51:00,93.9,,46.0,29.82,10.0,Variable,6.9,,Scattered Clouds,True,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-5894477,Source1,2,2021-03-24 08:31:00,2021-03-24 20:00:00,35.494522,-78.340438,35.501086,-78.327033,0.88,In Smithfield / Mile Marker 93 Heading North. The right lane is closed just north of Brogden Rd (Exit 93).,I-95 N,Smithfield,Johnston,NC,27577,US,US/Eastern,KJNX,2021-03-24 08:35:00,55.0,55.0,100.0,29.81,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4555487,Source1,2,2022-05-29 19:51:18.000000000,2022-05-29 21:31:11.000000000,33.820906,-78.666448,33.821307,-78.66529799999998,0.072,Incident on OCEAN BLVD near 6TH AVE Drive with caution.,5th Ave N,North Myrtle Beach,Horry,SC,29582,US,US/Eastern,KCRE,2022-05-29 19:53:00,78.0,78.0,76.0,29.98,10.0,S,5.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4233447,Source1,2,2021-12-30 14:51:00,2021-12-30 17:46:29,29.14549469933917,-82.18519091566952,29.09210469933917,-82.1851009156695,3.689,Incident on I-75 SB near MM 358 Right lane blocked. Expect delays.,I-75,Ocala,Marion,FL,34474,US,US/Eastern,KOCF,2021-12-30 14:51:00,79.0,79.0,72.0,29.92,10.0,SW,5.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6602918,Source1,2,2020-09-23 12:39:30,2020-09-24 01:20:31,38.987077,-94.55174,38.997897,-94.55485,0.7659999999999999,Slow traffic on I-40/US-71 from 85th St (I-40/US-71) to E Gregory Blvd (Bruce R Watkins Expy/US-71) due to accident.,Bruce R. Watkins Dr,Kansas City,Jackson,MO,64132,US,US/Central,KMKC,2020-09-23 12:28:00,74.0,74.0,59.0,29.24,10.0,SW,5.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7526410,Source1,4,2018-10-28 08:15:42,2018-10-28 08:45:26,31.579846000000003,-84.111689,31.58456,-84.11261999999998,0.33,At US-82/GA-300/GA-520/Clark Ave - Accident. Blocked ahead.,GA-3 N,Albany,Dougherty,GA,31705,US,US/Eastern,KABY,2018-10-28 07:53:00,46.9,,90.0,30.18,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
